Type,Title,Year of Release,Director,Genre,IMDB Rating
Movie,Kiki's Delivery Service,1989,Hayao Miyazaki,Fantasy,7.8
Movie,Knives Out,2019,Rian Johnson,Mystery,7.9
Movie,Green Book,2018,Peter Farrelly,Drama,8.2
Movie,Only The Brave,2017,Joseph Kosinski,Drama,7.6
Movie,Singin' In The Rain,1952,Stanley Donen,Musical,8.3
Movie,The Apartment,1960,Billy Wilder,Comedy,8.3
Movie,The Book Thief,2013,Brian Percival,Drama,7.5
Movie,Summer Stock,1950,Charles Walters,Musical,7.1
Movie,The Terminal,2004,Steven Spielberg,Drama,7.4
Movie,The Trouble with Angels,1966,Ida Lupino,Comedy,7.3
Movie,Whisper of the Heart,1995,Yoshifumi Kondo,Romance,7.9
Movie,Lara Croft: Tomb Raider,2001,Simon West,Action,5.7
Movie,Taken,2008,Pierre Morel,Action,7.8
Movie,Miracle In Cell No. 7,2019,Mehmet Ada Oztekin,Drama,8.2
TV Show,Crash Landing On You,2019,Lee Jung-hyo,Romance,8.8
TV Show,Talking Heads,2020,Alan Bennett,Drama,7.9
TV Show,Law & Order,1990,Dick Wolf,Drama,7.8
TV Show,Money Heist,2017,Alex Pina,Thriller,8.3
TV Show,Marvel's The Punisher,2017,Steve Lightfoot,Action,8.5
TV Show,Sons of Anarchy,2008,Kurt Sutter,Drama,8.6
TV Show,The Wire,2002,David Simon,Drama,9.3
TV Show,The Office,2005,Greg Daniels,Comedy,9
TV Show,The Mentalist,2008,Bruno Heller,Crime,8.2
TV Show,Arcane,2021,Pascal Charrue,Action,9.2
TV Show,The Morning Show,2019,Jay Carson,Drama,8.3